Topic,Count,Name,Representation,Representative_Docs
-1,177,-1_app_update_phone_work,"['app', 'update', 'phone', 'work', 'bug', 'login', 'experience', 'better', 'fix', 'time']","['bad app bug time', 'application work update', 'work allllllllll unknown error reason update installed internet connexion stable explanation app suck bad ask fix bug check balance thing app good unable star star fairly rating']"
0,137,0_app_account_time_transaction,"['app', 'account', 'time', 'transaction', 'money', 'add', 'feature', 'update', 'transfer', 'login']","['update longer accessible report problem try login asks confirmation code soon enter app crash solution offered delete app reinstall new update obviously serf greater purpose hide fact concrete solution resolve issue deleted customer service number sheer number call received', 'rate app star bcz important feature available language change access fingerprint contact option detail email phone profile edit share transaction confirmation transfer chose date window download transaction history', 'impressed new feature like money transfer detail account card waiting']"
1,85,1_good_perfect_great_nice,"['good', 'perfect', 'great', 'nice', 'excellent', 'outstanding', 'cool', 'finally', 'properly', 'awesome']","['good', 'good', 'good']"
2,78,2_app_worst_useless_horrible,"['app', 'worst', 'useless', 'horrible', 'outdated', 'service', 'work', 'seen', 'good', 'completely']","['worst app seen', 'worst app', 'worst app']"
3,47,3_design_english_update_need,"['design', 'english', 'update', 'need', 'language', 'excellente', 'new', 'french', 'version', 'improvement']","['design good', 'change language french english', 'new design good']"
4,39,4_easy_use_simple_user,"['easy', 'use', 'simple', 'user', 'friendly', 'great', 'safe', 'super', 'practical', 'secure']","['simple easy use secure highly recommend', 'useful easy use', 'super easy use']"
5,34,5_work_job_good_scanner,"['work', 'job', 'good', 'scanner', 'simplified', 'backside', 'usually', 'successful', 'head', 'time']","['work', 'work', 'work']"
6,28,6_application_service_bad_excellent,"['application', 'service', 'bad', 'excellent', 'support', 'good', 'useful', 'growing', 'hauteur', 'interesting']","['good application', 'application', 'application']"
7,16,7_slow_super_update_sooo,"['slow', 'super', 'update', 'sooo', 'slowly', 'luggy', 'accurate', 'stopping', 'lagging', 'hour']","['slow', 'slow', 'slow']"
8,15,8_bad_miserable_trash_disaster,"['bad', 'miserable', 'trash', 'disaster', 'annoying', 'worse', 'poor', '', '', '']","['bad', 'bad', 'bad']"
9,12,9_log_login_problem_error,"['log', 'login', 'problem', 'error', 'tried', 'occasionally', 'luck', 'fails', 'minute', 'told']","['error login', 'problem log', 'login error tried time called solution']"
10,10,10_tunisian_best_tunisia_nice,"['tunisian', 'best', 'tunisia', 'nice', 'dialect', 'usuful', 'physique', 'futur', 'production', 'uxux']","['nice usuful functionnalities like tunisian dialect touch clean clear', 'giving star great app probably best tunisian app come uxux', 'best tunisian app']"
11,7,11_password_reset_change_paste,"['password', 'reset', 'change', 'paste', 'option', 'disabled', 'forgot', 'create', 'character', 'memorize']","['change password', 'reset password', 'able create password password manager disabled paste option supposed memorize password requirement']"
12,6,12_crash_crashing_opening_update,"['crash', 'crashing', 'opening', 'update', 'keep', 'log', '', '', '', '']","['crash', 'crash update', 'crash update']"
